"date","cpi"
2000-01-01,93.3
2000-02-01,96.2
2000-03-01,104.7
2000-04-01,98.8
2000-05-01,100.7
2000-06-01,107.1
2000-07-01,106.7
2000-08-01,103
2000-09-01,109.1
2000-10-01,108.3
2000-11-01,109.2
2000-12-01,104.8
2001-01-01,103.1
2001-02-01,103.8
2001-03-01,101.4
2001-04-01,106.9
2001-05-01,112.8
2001-06-01,108
2001-07-01,97.6
2001-08-01,99
2001-09-01,106.5
2001-10-01,98
2001-11-01,88.2
2001-12-01,84.5
2002-01-01,86.7
2002-02-01,87.9
2002-03-01,96
2002-04-01,102.5
2002-05-01,100.6
2002-06-01,99.7
2002-07-01,102.5
2002-08-01,105
2002-09-01,105.2
2002-10-01,106.9
2002-11-01,104.9
2002-12-01,102.2
2003-01-01,108.4
2003-02-01,116.1
2003-03-01,117.2
2003-04-01,106.7
2003-05-01,99.3
2003-06-01,100.5
2003-07-01,102.4
2003-08-01,111.6
2003-09-01,110.8
2003-10-01,103.5
2003-11-01,100.5
2003-12-01,100
2004-01-01,105.8
2004-02-01,109.4
2004-03-01,112.3
2004-04-01,113.9
2004-05-01,129.4
2004-06-01,125.1
2004-07-01,120.7
2004-08-01,120.3
2004-09-01,118.8
2004-10-01,124.5
2004-11-01,118.3
2004-12-01,112.1
2005-01-01,114.9
2005-02-01,118.7
2005-03-01,124.9
2005-04-01,131.4
2005-05-01,127.3
2005-06-01,130.4
2005-07-01,135.5
2005-08-01,144.4
2005-09-01,160
2005-10-01,145.7
2005-11-01,129.4
2005-12-01,128.6
2006-01-01,136.9
2006-02-01,127.6
2006-03-01,134.1
2006-04-01,152.2
2006-05-01,151
2006-06-01,150.5
2006-07-01,157.3
2006-08-01,157.5
2006-09-01,130
2006-10-01,124.8
2006-11-01,125.3
2006-12-01,130.5
2007-01-01,126.4
2007-02-01,131.3
2007-03-01,147.6
2007-04-01,151.4
2007-05-01,159.7
2007-06-01,153.1
2007-07-01,152.9
2007-08-01,145.4
2007-09-01,146.5
2007-10-01,141.7
2007-11-01,147.4
2007-12-01,149.9
2008-01-01,152.8
2008-02-01,153.7
2008-03-01,159.3
2008-04-01,168.9
2008-05-01,183.7
2008-06-01,194.3
2008-07-01,196.7
2008-08-01,183.7
2008-09-01,185.3
2008-10-01,160.5
2008-11-01,126.2
2008-12-01,111.3
2009-01-01,116.9
2009-02-01,123.4
2009-03-01,125.9
2009-04-01,127.1
2009-05-01,137.6
2009-06-01,147
2009-07-01,141
2009-08-01,144.7
2009-09-01,142.6
2009-10-01,139.5
2009-11-01,144
2009-12-01,139.8
2010-01-01,144.8
2010-02-01,142.3
